system,tab,part,brand,model_pn,supersedes,fsm_impact,status,confidence,source,cost,wear_interval,notes
engine-lower,2,Crankshaft,Subaru OEM,12200AA430,OEM WRX crank,,installed,confirmed,Flatirons Tuning,322.47,,Nitride-treated STi
engine-lower,2,Pistons,Manley,612000C-4,OEM pistons,,installed,confirmed,Defined Performance,479.99,,EJ257 99.75mm std stroke std bore 8.5:1 dish
engine-lower,2,Rods,Manley,15024-4 H-Tuff,OEM rods,,installed,confirmed,Defined Performance,379.99,,
engine-lower,2,Rod bearings,King,STD,OEM,,installed,confirmed,Defined Performance,95.99,,Ran STD rod bearings
engine-lower,2,Main bearings,King,STDX,OEM,,installed,confirmed,Defined Performance,65.49,,Mains fine-tuned by mixing shell halves; see as-built-engine-specs.md
engine-lower,2,Oil pump,Subaru,15010AA360,10mm OEM pump,,installed,confirmed,eBay,89.10,,11mm high-volume
engine-lower,2,Crank pulley,Perrin,Lightweight,OEM crank pulley,,installed,confirmed,FB bundle,75.00,,DECISION REVERSED 2026-08-20: running the Perrin already installed rather than buying the Fluidampr. Mitigated by conventional OEM flywheel (avoids lightweight-pulley + lightweight-flywheel combo). Reversible - front-of-engine job
engine-lower,2,Harmonic damper,Fluidampr,531101,Perrin lightweight pulley,,deferred,confirmed,,400.00,,NOT BUYING for now - see crank pulley row. Original 2026-07-02 rationale: torsional harmonics at 500whp threaten rod/main bearings, timing sprocket, oil pump drive
engine-heads,2,Valve springs,Manley,22180-16,OEM springs,,installed,confirmed,Defined Performance,277.18,,Spring seats machined deeper to accept them
engine-heads,2,Valve retainers,Cosworth,PR7561,OEM retainers,,installed,confirmed,,,,Titanium. Note: mixed with Manley springs - confirm they were fitted as a matched combination
engine-heads,2,Cylinder head - one side,Cosworth,V25B STi,OEM head,HEAD/VALVETRAIN WORK FOLLOWS THE 2007 FSM - and 2007 STi has no ME section so use ME(H4DOTC),installed,confirmed,,,,GENUINE COSWORTH V25B STi head. Casting RESOLVED 2026-08-20 - V25B specifically - corroborates cooling-system-notes.md V25B casting mark. Which side (LH/RH) not recorded
engine-heads,2,Cylinder head - other side,OEM ported to match,,OEM head,,installed,confirmed,,,,OEM head PORTED TO MATCH the Cosworth side. This is why flows were matched - it was a matching exercise not a matched pair
engine-heads,2,Combustion chamber cc matching,,,,,installed,confirmed,,,,CHAMBERS EQUALISED - confirmed 2026-08-20. Compression is even bank to bank; nothing asymmetric to warn Ben about. Measured cc figures TEARDOWN-GATED
engine-heads,2,Valves,Oversized - brand TBD,,OEM valves,,installed,unverified,,,,OVERSIZED - believed +1mm (recollection, not confirmed). TEARDOWN-GATED: engine is sealed so not measurable. Only realistic sources before then are the heads for-sale thread or Cosworth published spec for the V25 heads
engine-heads,2,Head porting,Cosworth,Port + polish + flow matched,OEM ports,,installed,confirmed,,,,Flows matched between banks. Shop/who performed NOT RECORDED
engine-heads,2,Head machining - valve spring seats,,,OEM seats,,installed,confirmed,,,,VALVE SPRING SEATS MODIFIED (deeper) to accept taller Manley springs and allow more lift. DECK SURFACE NOT MILLED - so compression stays at the 8.5:1 from the Manley dish pistons and cam timing geometry is unchanged
engine-heads,2,Head gaskets,Subaru OEM,,OEM,,installed,confirmed,,,,OEM head gaskets. Sound pairing with ARP studs - factory multi-layer gaskets are well regarded and the studs provide the clamp
engine-heads,2,Head studs,ARP,,OEM TTY head bolts,,installed,confirmed,,,,ARP STUDS CONFIRMED 2026-08-20. Resolves the main reliability concern at 500whp on E85 - OEM TTY bolts are the known weak point for head lift. Exact ARP kit PN not recorded
engine-heads,2,Valve stem seals,NEW - brand not recorded,,OEM seals,,installed,confirmed,,,,NEW SEALS FITTED FOR THIS BUILD - confirmed 2026-08-20. Brand/PN not recorded (teardown-gated) but the fact they are new is the part that matters
engine-heads,2,Camshafts,Subaru OEM,,,,installed,unverified,,,,Stage 2 considered not fitted
oiling,2,Oil pan,IAG,,OEM pan,Changes oil capacity - measure and record,installed,confirmed,,,,
oiling,2,Air-oil separator,IAG,Street Series V2,Entire OEM PCV system,LU PCV content void; all OEM PCV hoses removed,installed,confirmed,,,Drain per interval,USED great condition w/ all lines; drain per interval; cap PCV portions of 21141AA131
oiling,2,Oil pressure sender,,remote,OEM switch location,,installed,confirmed,,,,Firewall mounted 2026-08-20; torque 25 Nm; THREE BOND 1324
