system,circuit,connector,pin,wire,change,detail,reason,verified,notes
harness,Engine harness base,,,,superseded,2005 STi engine harness merged onto 2004 GG body harness by iWire,Engine is an EJ257; body is a 2004 GG,confirmed,FSM wiring diagrams do not describe this car
ecu,ECU,,,,superseded,Factory ECU removed; Link WRXLink WRX104X (224-4000) in the factory enclosure,Standalone engine management,confirmed,Bench-activated with base map loaded
ecu,Expansion loom,,,,added,Link XSL Expansion Loom 101-0106,Adds inputs/outputs beyond the base loom,confirmed,
ecu,CAN bus,,,,added,Link CANJST 5-pin cable 101-0197,Connects CAN Lambda to the ECU,confirmed,
ecu,Wideband,,,,added,Link CAN Lambda 125-1000 in the POST-TURBO bung,Replaces both factory O2 circuits,confirmed,Rear O2 deleted; catless
fuel,Fuel pressure sensor,,,,added,LDM 8990150-0-150 0-150psi via BW Tuning TGV-to-pressure-sensor expansion harness,Fuel pressure input to the Link,confirmed,One of two identical sensors
oiling,Oil pressure sensor,,,,added,LDM 8990150-0-150 0-150psi via BW Tuning TGV-to-pressure-sensor expansion harness,Oil pressure input to the Link,confirmed,Second of two identical sensors; sender is firewall-mounted
fuel,Flex fuel sensor,,,,added,Continental PPA-IGF35 ethanol content sensor,Flex fuel capability,to-verify,Not yet installed - see CPU-57
drivetrain,DCCD,,,,added,DCCDPro with cluster output + iWire DCCD Spiider PnP kit + DCCD cluster jumper,Adds automatic G-sensor modes,confirmed,FACTORY KNOB AND CLUSTER DISPLAY STILL WORK
drivetrain,DCCD trans adapter,,,,added,iWire turbo-trans to DCCD-trans adapter,2011 DCCD box onto this harness,confirmed,
drivetrain,VSS,,,,added,iWire VSS Pro + PnP kit,Speed signal for the 07 STi cluster,to-verify,Verify against the cluster at commissioning
ecu,DBW pedal,,,,added,Subaru 36010FE020 pedal on an iWire DBW pedal adapter plate,2004 chassis did not have drive-by-wire,confirmed,
body,Cluster,,,,superseded,2007 STi cluster with outside air temp,Matches the 6MT/DCCD drivetrain,confirmed,
body,Cruise control,,,,NOT FITTED,Deliberately not wired during the iWire harness build,Not wanted,confirmed,SP Speed Control section is VOID. It is not broken - do not diagnose it
induction,Boost control,,,,superseded,3-port EBCS (GrimmSpeed believed) driving an external TiAL MVS,Factory 2-port EBCS content is VOID,to-verify,Confirm Link output frequency with the tuner
fuel,Fuel pump - B+ feed,,,15ft 10AWG red + 30A blade fuse,added,"Battery positive, through the DRIVER side firewall, along the driver side of the car, crossing under the REAR SEAT to the passenger-side chassis harness",DW400 draws far more than the factory circuit passes,confirmed,DeatschWerks FPHWK-10-HD kit. 30A fuse is on this leg
fuel,Fuel pump - relay,under the rear seat,,,added,"40A Bosch automotive relay, mounted UNDER THE REAR SEAT alongside the harness crossing",Switching element for the hardwired pump feed,confirmed,Relay and its ground are both under the rear seat - first place to look for a no-start on the fuel side
fuel,Fuel pump - relay ground,"chassis, under rear seat",,6ft 10AWG black,added,Relay ground to CHASSIS under the rear seat,,confirmed,FPHWK-10-HD ground leg
fuel,Fuel pump - FPCM bypassed,"R122 (10-pin black, area C-4)",,,UNPLUGGED,The factory fuel pump control module is UNPLUGGED and out of the circuit entirely. It is still physically in the car,Pump is hardwired; factory pump control is not used,confirmed,It is NOT in the signal path and NOT required. It is present only because it was never removed
fuel,Fuel pump - motor feed,R58 pin 1,1,yellow from relay; factory BY cut,cut and replaced,"The BY line between R57 and R58 was CUT, disconnecting R57 from the pump circuit. R58 pin 1 now takes the high-current motor feed straight from the relay output",Full-current hardwired feed to the DW400,confirmed,The factory feed path (FPCM -> BOr -> R15 pin 8 -> R57 -> BY) is ABANDONED and carries nothing
fuel,Fuel pump - factory feed path DEAD,R15 pin 8 / R57,8,"BOr chassis side, BY tank-cord side",abandoned,FSM diagram E/G(TB)-01 (WI-82) shows BOr at R15 pin 8 becoming BY across R57 into R58 pin 1. That path no longer feeds the pump,Superseded by the relay feed,confirmed,Tracing this circuit against the FSM will mislead - the wire is cut between R57 and R58
fuel,Fuel pump - relay trigger,R1 pin 7 -> R122 pin 10,7 (R1) -> 10 (R122),BY,cut and redirected,"The BY feed from the FUEL PUMP RELAY was CUT between R1 pin 7 and R166, and now drives the new 40A relay coil instead. Spliced UNDER THE REAR DRIVER SEAT","Relay still switches on factory pump-on logic, but the FPCM is left with no supply",confirmed,Cut is on the BY run between R1 pin 7 and R122 pin 10. Whether it passes through an R166/R167 pair depends on an unresolved question - see WHICH FUEL PUMP DIAGRAM APPLIES. Either way the cut point and both endpoints are unchanged. Splice method not yet recorded
fuel,Fuel pump - factory control chain DEAD,ECM conn D (B137) pin 15 -> ... -> R122,D15,"GR at the ECM, BY from the relay onward",abandoned,"Factory chain: ECM connector D pin 15 (GR) commands the FUEL PUMP RELAY; the relay output (BY) runs B46 -> B97/R1 bulkhead (8-pin, area B-2) -> R122 pin 10 at the fuel pump controller. On STi-model cars an R166/R167 pair sits between R1 and R122 - see the diagram question",Superseded by the hardwired relay,confirmed,Chain is INTACT up to R1 pin 7. Past the cut it feeds the new relay coil. R166/R167 and R122 carry nothing
